"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,Enzyme,"Enzyme activity"
140509,,"LMG 3411, CCUG 62454",1,"Achromobacter agilis",urease,-
133323,,"AVA-1, LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,"Achromobacter aloeverae",urease,+
140506,,"LMG 3458, CCUG 62433",1,"Achromobacter deleyi",urease,-
322,"API 201-3-84","DSM 23807, CCUG 47057, LMG 6003, CIP 108202",1,"Achromobacter insolitus",urease,-
140507,,"CCUG 62449, LMG 3441",1,"Achromobacter kerstersii",urease,-
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,"Achromobacter pestifer",urease,-
323,"API 198-2-84","CIP 108199, DSM 23806, CCUG 47062, LMG 5911",1,"Achromobacter spanius",urease,-
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,"Acidicapsa dinghuensis",urease,-
132354,DHOF10,"DSM 103429, CGMCC 1.13007, KCTC 42631",1,"Acidipila dinghuensis",urease,-
82,TPB606,"DSM 21000, VKM B-2487",1,"Acidisoma sibiricum",urease,+
133033,PMMR2,"DSM 27394, LMG 28340",1,"Acidobacterium ailaaui",urease,+
23868,"NF 1078","DSM 27981, CCUG 62584, LMG 26971",1,"Acidovorax wautersii",urease,+
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,"Actibacterium pelagium",urease,-
141055,LS-811,"BCRC 80823, JCM 30681",1,"Actibacterium ureilyticum",urease,+
17014,,"DSM 45503, BCC 28622, NBRC 104354, NRRL B-24610, GMKU 931",1,"Actinoallomurus acaciae",urease,+
17008,TT04-09,"DSM 45450, KCTC 19542, NBRC 103688",1,"Actinoallomurus coprocola",urease,+
17013,TTN02-22,"DSM 45451, KCTC 19540, NBRC 103686",1,"Actinoallomurus yoronensis",urease,+
132079,FC3,"DSM 100580, CSUR P1982, FC1",1,"Actinobaculum massiliense",urease,-
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,"Actinobaculum suis",urease,+
132532,3H-GS17,"DSM 100595, CGMCC 4.7282",1,"Actinocorallia lasiicapitis",urease,+
140670,R434,"KEMB 9005-403, KACC 18904, JCM 31557",1,"Actinokineospora acnipugnans",urease,+
16995,,"DSM 45045, CCTCC AA 206005, CIP 109812, JCM 14906, NBRC 103884, YIM 45681",1,"Actinomadura alba",urease,+
133727,"YIM M 10931","CCTCC AA 2010009, DSM 45500",1,"Actinomadura sediminis",urease,+
177,M1327/95/1,"DSM 15435, CCUG 37421, CIP 106647",1,"Actinomyces bowdenii",urease,-
175,M1192/98/1,"DSM 15415, CCUG 41709, CIP 106507",1,"Actinomyces catuli",urease,-
189,R18165,"DSM 19115, CCUG 48064, CIP 108337, R18165, KCTC 15232",1,"Actinomyces dentalis",urease,-
140372,pika_113,"DSM 104049, CGMCC 4.7372",1,"Actinomyces gaoshouyii",urease,-
