"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Metabolite (antibiotic)","Antibiotic sensitivity","Antibiotic resistance"
140854,,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219",1,"Achromobacter marplatensis",d-serine,,1
,,,,,fusidate,,1
,,,,,"nalidixic acid",,1
,,,,,niaproof,,1
,,,,,"sodium bromate",1,
,,,,,"sodium butyrate",,1
,,,,,"sodium chloride",1,
,,,,,"tetrazolium blue",,1
,,,,,troleandomycin,,1
142,KA1,"DSM 23886, LMG 25897, VKM B-2678",1,"Acidicapsa borealis",ampicillin,,1
,,,,,chloramphenicol,,1
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,lincomycin,1,
,,,,,neomycin,,1
,,,,,novobiocin,1,
,,,,,streptomycin,,1
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,"Acidicapsa dinghuensis",Amikacin,,1
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,neomycin,1,
,,,,,netilmycin,,1
,,,,,penicillin,1,
,,,,,polymyxin,1,
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,"Acidicapsa ligni",ampicillin,,1
,,,,,chloramphenicol,,1
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,,1
,,,,,neomycin,,1
,,,,,novobiocin,,1
,,,,,novobiocin,1,
,,,,,streptomycin,,1
26,Lhet2,"DSM 2389, ATCC 33463",1,"Acidiphilium cryptum",chloramphenicol,1,
,,,,,chlortetracyclin,1,
,,,,,erythromycin,,1
,,,,,neomycin,,1
,,,,,penicillin,,1
,,,,,streptomycin,,1
82,TPB606,"DSM 21000, VKM B-2487",1,"Acidisoma sibiricum",ampicillin,,1
,,,,,chloramphenicol,,1
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,lincomycin,,1
,,,,,neomycin,,1
,,,,,novobiocin,,1
,,,,,streptomycin,,1
81,WM1,"DSM 19999, VKM B-2488",1,"Acidisoma tundrae",ampicillin,,1
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,lincomycin,,1
,,,,,neomycin,1,
,,,,,novobiocin,1,
,,,,,streptomycin,1,
159774,WCHAc060041,"CCTCC AB 2018118, GDMCC 1.1383, KCTC 62575",1,"Acinetobacter sichuanensis",meropenem,,1
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,"Actibacterium pelagium",amoxicillin,1,
,,,,,ampicillin,1,
,,,,,bacitracin,,1
,,,,,carbenicillin,1,
,,,,,cefoxitin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,1,
,,,,,nitrofurantoin,1,
132079,FC3,"DSM 100580, CSUR P1982, FC1",1,"Actinobaculum massiliense",amoxicillin,1,
,,,,,cefotaxime,1,
,,,,,ceftriaxone,1,
,,,,,ciprofloxacin,,1
,,,,,"clavulanic acid",1,
,,,,,colistin,,1
,,,,,doxycycline,1,
,,,,,erythromycin,1,
,,,,,fosfomycin,1,
,,,,,gentamicin,,1
159707,A251,"CGMCC 4.7421, JCM 32178",1,"Actinocorallia populi",chloramphenicol,,1
,,,,,ciprofloxacin,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,norfloxacin,1,
,,,,,novobiocin,1,
,,,,,oxacillin,,1
,,,,,penicillin,,1
,,,,,piperacillin,,1
158373,,"DSM 108647, NBRC 113074, TBRC 7225, GKU 128",1,"Actinomadura barringtoniae","amphotericin b",,1
,,,,,ampicillin,,1
,,,,,cycloheximide,,1
,,,,,"penicillin g",,1
140229,D-24,"DSM 101732, KCTC 42708",1,"Aequorivita aquimaris",ampicillin,1,
,,,,,bacitracin,,1
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,neomycin,,1
,,,,,novobiocin,1,
,,,,,oleandomycin,1,
158560,N.8,"KCTC 33824, JCM 31580",1,"Aeribacillus composti",ampicillin,1,
,,,,,bacitracin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,fusidate,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,lincomycin,1,
,,,,,neomycin,1,
,,,,,novobiocin,1,
280,868E,"DSM 19111, CECT 7113, LMG 23376",1,"Aeromonas bivalvium",amikacin,1,
,,,,,amoxicillin,,1
,,,,,ampicillin,,1
,,,,,cefoxitin,1,
,,,,,ceftriaxone,1,
,,,,,ciprofloxacin,1,
,,,,,"clavulanic acid",,1
,,,,,colistin,1,
,,,,,erythromycin,,1
,,,,,gentamicin,1,
258,S181,"DSM 11577, CECT 4342, LMG 16330",1,"Aeromonas encheleia",amikacin,1,
,,,,,amoxicillin,,1
,,,,,ampicillin,,1
,,,,,carbenicillin,,1
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,fosfomycin,,1
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
283,717,"DSM 23621, CECT 7401, LMG 24681",1,"Aeromonas fluvialis",amikacin,1,
,,,,,amoxicillin,,1
,,,,,aztreonam,1,
,,,,,cefepime,1,
,,,,,cefoperazone,1,
,,,,,cefotaxime,1,
,,,,,cefoxitin,1,
,,,,,ceftazidime,1,
,,,,,ceftriaxone,1,
,,,,,cephalothin,1,
242,,"CCUG 14453, CCM 3653, JCM 2385, LMG 9073, DSM 4881, ATCC 33907",1,"Aeromonas media",ampicillin,0,
,,,,,chloramphenicol,1,
,,,,,chlortetracyclin,1,
,,,,,cloxacillin,0,
,,,,,colistin,1,
,,,,,erythromycin,1,
,,,,,furazolidone,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,neomycin,1,
262,848T,"DSM 17090, CECT 5864, LMG 22214, CCUG 50741, CIP 108676",1,"Aeromonas molluscorum",amikacin,1,
,,,,,amoxicillin,1,
,,,,,ampicillin,,1
,,,,,cefoxitin,1,
,,,,,ceftriaxone,1,
,,,,,cefuroxime,1,
,,,,,ciprofloxacin,1,
,,,,,"clavulanic acid",1,
,,,,,colistin,1,
,,,,,erythromycin,,1
279,,"CCUG 39350, ATCC BAA 243, NCIMB 13618, DSM 19604, CCM 4708, CECT 5176, CIP 105493, LMG 17541",1,"Aeromonas popoffii",amikacin,1,
,,,,,amoxicillin,,1
,,,,,ampicillin,,1
,,,,,cefotaxime,1,
,,,,,ceftazidime,1,
,,,,,chloramphenicol,1,
,,,,,clarithromycin,,1
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,mezlocillin,1,
288,WB4.1-19,"DSM 22539, CECT 7518, MDC 2511",1,"Aeromonas rivuli",vibriostat,,1
