"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Gram stain"
159837,OUC007,"KCTC 52933, MCCC 1K03450, OUC007",1,"Abyssibacter profundi",negative
132478,L81,"DSM 29592, JCM 30920",1,"Abyssivirga alkaniphila",positive
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,"Acanthopleuribacter pedis",negative
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141",1,"Acaricomes phytoseiuli",positive
134101,Z7,"JCM 12359, AS1.5012",1,"Acetanaerobacterium elongatum",positive
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,"Acetivibrio clariflavus",variable
132679,GGR1,"DSM 101079, CECT 9155",1,"Acetivibrio saccincola",positive
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894",1,"Acetobacter cerevisiae",negative
23,"985, R-36330","DSM 19596, LMG 24244",1,"Acetobacter fabarum",negative
22,"430A, R-29337","DSM 18895, LMG 23848",1,"Acetobacter ghanensis",negative
13,,"DSM 14337, CIP 108768, LMG 1746",1,"Acetobacter malorum",negative
132413,Bo7,"DSM 23824, CECT 7722",1,"Acetobacter musti",negative
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, RG1",1,"Acetobacter nitrogenifigens",negative
19,B13,"DSM 23926, CECT 5830, LMG 21952",1,"Acetobacter oeni",negative
21,CWBI-B418,"DSM 18889, LMG 23690",1,"Acetobacter senegalensis",negative
17779,OS1,"DSM 22491, ATCC BAA 1850",1,"Acetomicrobium hydrogeniformans",negative
17777,NGA,"DSM 13181, ATCC BAA 54, JCM 12221",1,"Acetomicrobium mobile",negative
17778,RWcit2,"DSM 13490, ACM 5076",1,"Acetomicrobium thermoterrenum",negative
140509,,"LMG 3411, CCUG 62454",1,"Achromobacter agilis",negative
133323,,"AVA-1, LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,"Achromobacter aloeverae",negative
140506,,"LMG 3458, CCUG 62433",1,"Achromobacter deleyi",negative
322,"API 201-3-84","DSM 23807, CCUG 47057, LMG 6003, CIP 108202",1,"Achromobacter insolitus",negative
140507,,"CCUG 62449, LMG 3441",1,"Achromobacter kerstersii",negative
140854,,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219",1,"Achromobacter marplatensis",negative
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,"Achromobacter pestifer",negative
323,"API 198-2-84","CIP 108199, DSM 23806, CCUG 47062, LMG 5911",1,"Achromobacter spanius",negative
